Sneaker Name,Release Date,Date ,Price
"Jordan 1 Retro Low OG SP
Travis Scott Medium Olive",2024-09-28,2024-09-28,494
"Jordan 1 Retro Low OG SP
Travis Scott Medium Olive",2024-09-28,2024-09-30,480
"Jordan 1 Retro Low OG SP
Travis Scott Medium Olive",2024-09-28,2024-10-05,499
"Jordan 1 Retro Low OG SP
Travis Scott Medium Olive",2024-09-28,2024-10-10,504
"Jordan 1 Retro Low OG SP
Travis Scott Medium Olive",2024-09-28,2024-10-15,501
"Jordan 1 Retro Low OG SP
Travis Scott Medium Olive",2024-09-28,2024-10-20,510
"Jordan 1 Retro Low OG SP
Travis Scott Medium Olive",2024-09-28,2024-10-25,508
"Jordan 1 Retro Low OG SP
Travis Scott Medium Olive",2024-09-28,2024-10-30,482
"Jordan 1 Retro Low OG SP
Travis Scott Medium Olive",2024-09-28,2024-11-04,493
"Jordan 1 Retro Low OG SP
Travis Scott Medium Olive",2024-09-28,2024-11-09,509
"Jordan 1 Retro Low OG SP
Travis Scott Medium Olive",2024-09-28,2024-11-14,533
"Jordan 1 Retro Low OG SP
Travis Scott Medium Olive",2024-09-28,2024-11-19,527
"Jordan 1 Retro Low OG SP
Travis Scott Medium Olive",2024-09-28,2024-11-24,535
"Jordan 1 Retro Low OG SP
Travis Scott Medium Olive",2024-09-28,2024-11-29,511
"Jordan 1 Retro Low OG SP
Travis Scott Medium Olive",2024-09-28,2024-12-04,531
"Jordan 4 Retro SB
Navy",2025-03-18,2025-03-18,421
"Jordan 4 Retro SB
Navy",2025-03-18,2025-03-20,426
"Jordan 4 Retro SB
Navy",2025-03-18,2025-03-23,415
"Jordan 4 Retro SB
Navy",2025-03-18,2025-03-27,409
"Jordan 4 Retro SB
Navy",2025-03-18,2025-03-31,374
"Jordan 4 Retro SB
Navy",2025-03-18,2025-04-03,345
"Jordan 4 Retro SB
Navy",2025-03-18,2025-04-07,350
"Jordan 4 Retro SB
Navy",2025-03-18,2025-04-10,338
